modelo_titulo,provincia,kilometraje,combustible,distintivo_ambiental,garantia,cambio_automatico,carroceria,plazas,potencia,puertas,color,precio,vendedor_profesional,consumo_medio,certificado,fecha_extraccion,referencia,url,ruta_imagen,marca_sola,mes_matricula,anio_matricula,nombre_vendedor_profesional,peninsula_y_baleares,comunidad
308 1.4 95cv 5p.,Lleida,142137,Gasolina,C,12.0,False,Berlina,,95.0,5.0,GRIS,7900.0,True,,False,2025-02-19 17:01:36.887580,14946771.0,https://www.autocasion.com/coches-segunda-mano/peugeot-308-ocasion/1-4-95cv-5p-167462394aee75-ref14946771,../img/coches/14946771-0-5926368496749e1fa4cfb77.85440971.jpeg,PEUGEOT,5.0,2009.0,"ASTER AUTOS",True,Cataluña
León ST 1.6 TDI CR 85 kW (115 CV) Start&Stop Style,Lleida,106736,Diésel,,12.0,False,Familiar,,116.0,5.0,BLANCO,13500.0,True,,False,2025-02-19 17:01:44.312012,14962083.0,https://www.autocasion.com/coches-segunda-mano/seat-leon-ocasion/leon-st-1-6-tdi-cr-85-kw-115-cv-start-stop-style-1674e0c05edac5-ref14962083,../img/coches/14962083-0-824922025674e0c07cb9c38.03527986.jpeg,SEAT,6.0,2020.0,"ASTER AUTOS",True,Cataluña
308 1.5BlueHDi S&S Style 130,Lleida,68314,Diésel,C,12.0,False,Berlina,5.0,130.0,5.0,GRIS,13900.0,True,3.6,False,2025-02-19 17:01:54.282640,15014897.0,https://www.autocasion.com/coches-segunda-mano/peugeot-308-ocasion/308-1-5bluehdi-s-s-style-130-ref15014897,../img/coches/15014897-0-1402892972675898157d3882.03765301.jpeg,PEUGEOT,9.0,2019.0,"ASTER AUTOS",True,Cataluña
Grandland X Grand Land 1.6CDTI Selective,Lleida,55531,Diésel,,12.0,False,"4x4, SUV o pickup",,120.0,5.0,GRIS,17950.0,True,,False,2025-02-19 17:02:02.672957,15027844.0,https://www.autocasion.com/coches-segunda-mano/opel-grandland-x-ocasion/grand-land-x-1-6cdti-selective-1675b05f022e87-ref15027844,../img/coches/15027844-0-557393874675b05f31fab45.08308918.jpeg,OPEL,10.0,2018.0,"ASTER AUTOS",True,Cataluña
A3 Sportback Sportback 35 TFSI 150cv,Lleida,75800,Gasolina,C,12.0,False,Berlina,,150.0,5.0,AZUL,24900.0,True,,False,2025-02-19 17:02:11.380113,15068938.0,https://www.autocasion.com/coches-segunda-mano/audi-a3-ocasion/sportback-sportback-35-tfsi-150cv-16762f44e59f10-ref15068938,../img/coches/15068938-0-21278795586762f4e35012f6.36320311.jpeg,AUDI,2.0,2021.0,"ASTER AUTOS",True,Cataluña
Corsa 1.2 (100CV) Elegance 5P,Lleida,93869,Gasolina,C,12.0,False,Berlina,,100.0,5.0,NEGRO,11900.0,True,,False,2025-02-19 17:02:19.805639,15068939.0,https://www.autocasion.com/coches-segunda-mano/opel-corsa-ocasion/1-2-100cv-elegance-5p-16762f44ebc383-ref15068939,../img/coches/15068939-0-1743434596762f4e4aa06b1.29387964.jpeg,OPEL,4.0,2022.0,"ASTER AUTOS",True,Cataluña
A1 Sportback 30 TFSI Black line,Lleida,68216,Gasolina,C,12.0,False,Berlina,5.0,116.0,5.0,ROJO,17900.0,True,4.9,False,2025-02-19 17:02:31.877727,15141118.0,https://www.autocasion.com/coches-segunda-mano/audi-a1-ocasion/a1-sportback-30-tfsi-black-line-ref15141118,../img/coches/15141118-0-10526678326772f9e3c71a76.87936796.jpeg,AUDI,3.0,2019.0,"ASTER AUTOS",True,Cataluña
500 1.2 Lounge,Lleida,93562,Gasolina,C,12.0,False,Berlina,4.0,69.0,3.0,BLANCO,9900.0,True,5.1,False,2025-02-19 17:02:40.488963,15195785.0,https://www.autocasion.com/coches-segunda-mano/fiat-500-ocasion/500-1-2-lounge-1-ref15195785,../img/coches/15195785-0-2330156200678023dd3c6e71.56743655.jpeg,FIAT,8.0,2017.0,"ASTER AUTOS",True,Cataluña
308 1.6 THP Active,Lleida,135000,Gasolina,C,12.0,False,Berlina,5.0,125.0,5.0,AZUL,8900.0,True,5.6,False,2025-02-19 17:02:49.506620,15239174.0,https://www.autocasion.com/coches-segunda-mano/peugeot-308-ocasion/308-1-6-thp-active-ref15239174,../img/coches/15239174-0-393456983767880dbc4455e7.74870540.jpeg,PEUGEOT,3.0,2014.0,"ASTER AUTOS",True,Cataluña
Astra 1.6CDTi S/S Dynamic 136,Lleida,109570,Diésel,C,12.0,False,Berlina,5.0,136.0,5.0,OTROS,9900.0,True,3.9,False,2025-02-19 17:02:57.300519,15267813.0,https://www.autocasion.com/coches-segunda-mano/opel-astra-ocasion/astra-1-6cdti-s-s-dynamic-136-ref15267813,../img/coches/15267813-0-526599784678e30ba8dffc0.93355280.jpeg,OPEL,2.0,2017.0,"ASTER AUTOS",True,Cataluña
Mégane Berlina GT Line Tce GPF 103 kW (140 CV),Lleida,75461,Gasolina,C,12.0,False,Familiar,,140.0,5.0,AZUL,17500.0,True,,False,2025-02-19 17:03:06.107975,15363977.0,https://www.autocasion.com/coches-segunda-mano/renault-megane-ocasion/berlina-gt-line-tce-gpf-103-kw-140-cv-167a119707caea-ref15363977,../img/coches/15363977-0-167794543567a11972cb3fb0.48540384.jpeg,RENAULT,2.0,2019.0,"ASTER AUTOS",True,Cataluña
Ateca 1.6TDI CR S&S Ecomotive Style,Lleida,90654,Diésel,C,12.0,False,Todo Terreno,5.0,115.0,5.0,GRIS,18900.0,True,4.4,False,2025-02-19 17:03:13.875096,15403653.0,https://www.autocasion.com/coches-segunda-mano/seat-ateca-ocasion/ateca-1-6tdi-cr-s-s-ecomotive-style-ref15403653,../img/coches/15403653-0-200246590667ab351d4c54c4.86984988.jpeg,SEAT,6.0,2018.0,"ASTER AUTOS",True,Cataluña
Koleos 2.0dCi Dynamique 4x4,Lleida,105785,Diésel,B,12.0,False,Todo Terreno,5.0,150.0,5.0,BLANCO,11900.0,True,7.4,False,2025-02-19 17:03:22.973297,15423335.0,https://www.autocasion.com/coches-segunda-mano/renault-koleos-ocasion/koleos-2-0dci-dynamique-4x4-ref15423335,../img/coches/15423335-0-320155657967ae504fcac237.90952160.jpeg,RENAULT,6.0,2010.0,"ASTER AUTOS",True,Cataluña
Civic 2.0i-VTEC Type R,Madrid,163500,Gasolina,C,12.0,False,Berlina,4.0,201.0,3.0,NEGRO,16999.0,True,9.1,False,2025-02-19 17:03:31.565154,15144446.0,https://www.autocasion.com/coches-segunda-mano/honda-civic-ocasion/civic-2-0i-vtec-type-r-ref15144446,../img/coches/62b197b5b9aad96ed0a0bcd6305f48ed46792c66.jpeg,HONDA,2.0,2008.0,"Cocheador",True,Comunidad de Madrid
Fortwo Coupé 66 Passion,Madrid,62000,Gasolina,C,12.0,False,Berlina,2.0,90.0,3.0,OTROS,11499.0,True,5.2,False,2025-02-19 17:03:42.186385,15144412.0,https://www.autocasion.com/coches-segunda-mano/smart-fortwo-ocasion/fortwo-coupe-66-passion-ref15144412,../img/coches/06d1c43519790c3523b5f2f912a2913a4457af48.jpeg,SMART,2.0,2016.0,"Cocheador",True,Comunidad de Madrid
500 500C 1.2 Lounge,Madrid,129000,Gasolina,C,12.0,False,Descapotable o convertible,4.0,69.0,2.0,AZUL,7999.0,True,5.1,False,2025-02-19 17:03:51.634175,15144379.0,https://www.autocasion.com/coches-segunda-mano/fiat-500-ocasion/500c-1-2-lounge-ref15144379,../img/coches/196882deacb2dd0270455c0204201813283f990f.jpeg,FIAT,5.0,2013.0,"Cocheador",True,Comunidad de Madrid
C-HR ADVANCE 1.8 VVT-I HYBRID 122 CV AUTO 5P,Barcelona,54100,Gasolina,C,12.0,True,Berlina,,122.0,5.0,BLANCO,26500.0,True,,False,2025-02-19 17:04:26.914356,15410225.0,https://www.autocasion.com/coches-segunda-mano/toyota-c-hr-ocasion/c-hr-advance-1-8-vvt-i-hybrid-122-cv-auto-5p-16-ref15410225,../img/coches/a525df5fe699704fc3a8b39a882cc3ef17ef1779.jpeg,TOYOTA,7.0,2023.0,"VALLESCAR",True,Cataluña
